rs_tx	gene	tx_recovery	gene_recovery	perc_recovery
NM_001281738	ETFDH	26	34.0	76.47058823529412
NM_001017369	MSMO1	1	1.0	100.0
NM_006745	MSMO1	1	1.0	100.0
NM_001873	CPE	1	1.0	100.0
NM_001199399	NEK1	14	19.0	73.68421052631578
NM_001199398	NEK1	15	19.0	78.94736842105263
NM_001199397	NEK1	15	19.0	78.94736842105263
NM_001199400	NEK1	15	19.0	78.94736842105263
NM_012224	NEK1	15	19.0	78.94736842105263
NM_021973	HAND2	2	2.0	100.0
NM_000860	HPGD	5	5.0	100.0
NM_001256306	HPGD	3	5.0	60.0
NM_001256307	HPGD	3	5.0	60.0
NM_001256305	HPGD	4	5.0	80.0
NM_001145816	HPGD	5	5.0	100.0
NM_001256301	HPGD	4	5.0	80.0
NM_001363574	HPGD	4	5.0	80.0
NM_005429	VEGFC	2	3.0	66.66666666666666
NR_033655	AGA	24	34.0	70.58823529411765
NM_001171988	AGA	24	34.0	70.58823529411765
NM_000027	AGA	25	34.0	73.52941176470588
NM_001080477	TENM3	5	6.0	83.33333333333334
NM_199053	TRAPPC11	10	14.0	71.42857142857143
NM_021942	TRAPPC11	10	14.0	71.42857142857143
NR_144314	PRIMPOL	1	1.0	100.0
NR_144312	PRIMPOL	1	1.0	100.0
NR_144313	PRIMPOL	1	1.0	100.0
NM_001345891	PRIMPOL	1	1.0	100.0
NM_152683	PRIMPOL	1	1.0	100.0
NM_001345893	PRIMPOL	1	1.0	100.0
NM_001300768	PRIMPOL	1	1.0	100.0
NM_001345899	PRIMPOL	1	1.0	100.0
NM_001345894	PRIMPOL	1	1.0	100.0
NM_001345897	PRIMPOL	1	1.0	100.0
NM_001345898	PRIMPOL	1	1.0	100.0
NM_001345900	PRIMPOL	1	1.0	100.0
NM_001345895	PRIMPOL	1	1.0	100.0
NM_001345892	PRIMPOL	1	1.0	100.0
NM_001345896	PRIMPOL	1	1.0	100.0
NM_001300767	PRIMPOL	1	1.0	100.0
NM_001345901	PRIMPOL	1	1.0	100.0
NM_001151	SLC25A4	8	9.0	88.88888888888889
NR_028085	UFSP2	2	2.0	100.0
NR_144317	UFSP2	2	2.0	100.0
NM_018359	UFSP2	2	2.0	100.0
NR_047562	PDLIM3	1	1.0	100.0
NM_001257962	PDLIM3	1	1.0	100.0
NM_014476	PDLIM3	1	1.0	100.0
NM_001114107	PDLIM3	1	1.0	100.0
NM_207352	CYP4V2	23	26.0	88.46153846153845
NM_001318396	KLKB1	5	5.0	100.0
NM_000892	KLKB1	5	5.0	100.0
NM_001318394	KLKB1	5	5.0	100.0
NM_000128	F11	46	59.0	77.96610169491525
NM_001354804	F11	13	59.0	22.033898305084744
NR_033900	F11	3	59.0	5.084745762711865
NM_005245	FAT1	6	6.0	100.0
NM_001330758	SDHA	42	57.0	73.68421052631578
NM_001294332	SDHA	44	57.0	77.19298245614034
NM_004168	SDHA	45	57.0	78.94736842105263
NM_001284351	SLC9A3	4	5.0	80.0
NM_004174	SLC9A3	4	5.0	80.0
NM_004237	TRIP13	1	2.0	50.0
NM_001003841	SLC6A19	5	7.0	71.42857142857143
NR_149163	TERT	32	37.0	86.48648648648648
NR_149162	TERT	33	37.0	89.1891891891892
NM_001193376	TERT	34	37.0	91.8918918918919
NM_198253	TERT	35	37.0	94.5945945945946
NM_001044	SLC6A3	3	5.0	60.0
NM_004553	NDUFS6	3	4.0	75.0
NR_037947	NSUN2	6	7.0	85.71428571428571
NM_001193455	NSUN2	6	7.0	85.71428571428571
NM_017755	NSUN2	6	7.0	85.71428571428571
NR_157176	MTRR	8	8.0	100.0
NR_157178	MTRR	7	8.0	87.5
NR_157175	MTRR	7	8.0	87.5
NR_134481	MTRR	7	8.0	87.5
NR_157177	MTRR	7	8.0	87.5
NR_134480	MTRR	7	8.0	87.5
NR_157170	MTRR	7	8.0	87.5
NR_157174	MTRR	6	8.0	75.0
NR_134482	MTRR	6	8.0	75.0
NR_157172	MTRR	6	8.0	75.0
NR_157173	MTRR	7	8.0	87.5
NR_157168	MTRR	7	8.0	87.5
NR_157171	MTRR	6	8.0	75.0
NR_157169	MTRR	6	8.0	75.0
NM_001364440	MTRR	7	8.0	87.5
NM_001364441	MTRR	7	8.0	87.5
NM_001364442	MTRR	7	8.0	87.5
NM_002454	MTRR	7	8.0	87.5
NM_024010	MTRR	7	8.0	87.5
NR_109988	CTNND2	2	6.0	33.33333333333333
NM_001288717	CTNND2	3	6.0	50.0
NM_001332	CTNND2	5	6.0	83.33333333333334
NM_001288716	CTNND2	2	6.0	33.33333333333333
NM_001288715	CTNND2	5	6.0	83.33333333333334
NM_001364128	CTNND2	2	6.0	33.33333333333333
NM_001369	DNAH5	117	148.0	79.05405405405406
NR_134469	TRIO	16	17.0	94.11764705882352
NM_007118	TRIO	16	17.0	94.11764705882352
NM_138348	OTULIN	1	2.0	50.0
NM_054027	ANKH	6	7.0	85.71428571428571
NR_046285	LOC100130744	2		
NM_001034850	RETREG1	4	4.0	100.0
NM_019000	RETREG1	2	4.0	50.0
NR_047676	TARS1	3	3.0	100.0
NR_047677	TARS1	3	3.0	100.0
NR_047678	TARS1	3	3.0	100.0
NM_001258437	TARS1	3	3.0	100.0
NM_001258438	TARS1	3	3.0	100.0
NM_152295	TARS1	3	3.0	100.0
NM_016180	SLC45A2	13	15.0	86.66666666666667
NM_001012509	SLC45A2	13	15.0	86.66666666666667
NM_001297417	SLC45A2	8	15.0	53.333333333333336
NM_001348420	DNAJC21	5	6.0	83.33333333333334
NM_194283	DNAJC21	5	6.0	83.33333333333334
NM_001012339	DNAJC21	5	6.0	83.33333333333334
NR_037910	PRLR	2	2.0	100.0
NM_001204318	PRLR	1	2.0	50.0
NM_001204317	PRLR	2	2.0	100.0
NM_001204316	PRLR	2	2.0	100.0
NM_001204314	PRLR	2	2.0	100.0
NM_000949	PRLR	2	2.0	100.0
NM_001204315	PRLR	2	2.0	100.0
NR_120485	IL7R	12	25.0	48.0
NM_002185	IL7R	21	25.0	84.0
NM_153013	NADK2	1	1.0	100.0
NM_001287341	NADK2	1	1.0	100.0
NM_001085411	NADK2	1	1.0	100.0
NM_001287340	NADK2	1	1.0	100.0
NM_001289939	SLC1A3	1	1.0	100.0
NM_004172	SLC1A3	1	1.0	100.0
NM_001166695	SLC1A3	1	1.0	100.0
NM_133433	NIPBL	243	297.0	81.81818181818183
NM_015384	NIPBL	243	297.0	81.81818181818183
NM_023073	CPLANE1	62	78.0	79.48717948717949
NM_002310	LIFR	11	12.0	91.66666666666666
NM_001127671	LIFR	11	12.0	91.66666666666666
NM_001364298	LIFR	11	12.0	91.66666666666666
NM_001364297	LIFR	11	12.0	91.66666666666666
NM_001285440	RICTOR	1	1.0	100.0
NM_152756	RICTOR	1	1.0	100.0
NM_001285439	RICTOR	1	1.0	100.0
NM_001243093	FYB1	2	2.0	100.0
NM_199335	FYB1	2	2.0	100.0
NM_001465	FYB1	2	2.0	100.0
NM_018594	FYB1	2	2.0	100.0
NM_001349333	FYB1	2	2.0	100.0
NM_001737	C9	3	3.0	100.0
NM_000587	C7	6	9.0	66.66666666666666
NM_001115131	C6	3	3.0	100.0
NM_000065	C6	3	3.0	100.0
NR_157114	OXCT1	2	3.0	66.66666666666666
NM_001364301	OXCT1	2	3.0	66.66666666666666
NM_001364302	OXCT1	2	3.0	66.66666666666666
NM_000436	OXCT1	2	3.0	66.66666666666666
NM_001364299	OXCT1	2	3.0	66.66666666666666
NM_001364300	OXCT1	2	3.0	66.66666666666666
NM_001364303	OXCT1	1	3.0	33.33333333333333
NM_000163	GHR	14	17.0	82.35294117647058
NM_001242400	GHR	14	17.0	82.35294117647058
NM_001242399	GHR	14	17.0	82.35294117647058
NM_001242401	GHR	14	17.0	82.35294117647058
NM_001242402	GHR	14	17.0	82.35294117647058
NM_001242403	GHR	14	17.0	82.35294117647058
NM_001242404	GHR	14	17.0	82.35294117647058
NM_001242405	GHR	14	17.0	82.35294117647058
NM_001242406	GHR	14	17.0	82.35294117647058
NM_001242462	GHR	13	17.0	76.47058823529412
NM_001242460	GHR	13	17.0	76.47058823529412
NM_012343	NNT	7	8.0	87.5
NM_182977	NNT	7	8.0	87.5
NM_001331026	NNT	6	8.0	75.0
NM_004465	FGF10	12	12.0	100.0
NM_021072	HCN1	11	11.0	100.0
NM_176806	MOCS2	8	9.0	88.88888888888889
NM_004531	MOCS2	8	9.0	88.88888888888889
NR_134475	NDUFS4	8	10.0	80.0
NR_134473	NDUFS4	8	10.0	80.0
NR_134474	NDUFS4	8	10.0	80.0
NM_002495	NDUFS4	8	10.0	80.0
NM_001318051	NDUFS4	7	10.0	70.0
NM_001190787	MCIDAS	2	2.0	100.0
NR_125347	CCNO	13	14.0	92.85714285714286
NR_125346	CCNO	13	14.0	92.85714285714286
NR_125348	CCNO	8	14.0	57.14285714285714
NM_021147	CCNO	13	14.0	92.85714285714286
NM_001242638	IL31RA	1	1.0	100.0
NM_001242637	IL31RA	1	1.0	100.0
NM_139017	IL31RA	1	1.0	100.0
NM_001242639	IL31RA	1	1.0	100.0
NM_001242636	IL31RA	1	1.0	100.0
NR_157112	IL6ST	2	2.0	100.0
NR_120480	IL6ST	2	2.0	100.0
NM_001364276	IL6ST	2	2.0	100.0
NM_001364279	IL6ST	2	2.0	100.0
NM_001364278	IL6ST	2	2.0	100.0
NM_001364277	IL6ST	2	2.0	100.0
NM_175767	IL6ST	2	2.0	100.0
NM_001190981	IL6ST	2	2.0	100.0
NM_001364275	IL6ST	1	2.0	50.0
NM_002184	IL6ST	2	2.0	100.0
NM_005921	MAP3K1	12	13.0	92.3076923076923
NM_001364599	PDE4D	13	13.0	100.0
NM_001165899	PDE4D	13	13.0	100.0
NM_001349243	PDE4D	13	13.0	100.0
NM_001349241	PDE4D	13	13.0	100.0
NM_001104631	PDE4D	13	13.0	100.0
NM_001197218	PDE4D	13	13.0	100.0
NM_001364603	PDE4D	13	13.0	100.0
NM_001364604	PDE4D	13	13.0	100.0
NM_006203	PDE4D	13	13.0	100.0
NM_001349242	PDE4D	13	13.0	100.0
NM_001197219	PDE4D	13	13.0	100.0
NM_001197220	PDE4D	13	13.0	100.0
NM_001197221	PDE4D	8	13.0	61.53846153846154
NM_001197222	PDE4D	8	13.0	61.53846153846154
NM_001197223	PDE4D	6	13.0	46.15384615384615
NM_001364600	PDE4D	5	13.0	38.46153846153847
NM_001364602	PDE4D	5	13.0	38.46153846153847
NM_001364601	PDE4D	1	13.0	7.6923076923076925
NM_001290285	ERCC8	16	34.0	47.05882352941176
NM_000082	ERCC8	16	34.0	47.05882352941176
NM_001007233	ERCC8	16	34.0	47.05882352941176
NM_001007234	ERCC8	6	34.0	17.647058823529413
NM_174889	NDUFAF2	7	7.0	100.0
NM_020928	ZSWIM6	2	2.0	100.0
NM_001243952	KIF2A	2	2.0	100.0
NM_001098511	KIF2A	2	2.0	100.0
NM_004520	KIF2A	2	2.0	100.0
NM_001243953	KIF2A	2	2.0	100.0
NM_000524	HTR1A	1	1.0	100.0
NM_001297644	CWC27	4	4.0	100.0
NM_001318000	CWC27	2	4.0	50.0
NM_001297645	CWC27	2	4.0	50.0
NM_005869	CWC27	4	4.0	100.0
NM_001364478	CWC27	4	4.0	100.0
NM_181523	PIK3R1	24	32.0	75.0
NM_181524	PIK3R1	23	32.0	71.875
NM_181504	PIK3R1	23	32.0	71.875
NM_001242466	PIK3R1	22	32.0	68.75
NM_001038603	MARVELD2	6	8.0	75.0
NM_001244734	MARVELD2	5	8.0	62.5
NM_002538	OCLN	7	9.0	77.77777777777779
NM_001205254	OCLN	7	9.0	77.77777777777779
NM_001205255	OCLN	1	9.0	11.11111111111111
NM_000344	SMN1	18	25.0	72.0
NM_001297715	SMN1	17	25.0	68.0
NM_022874	SMN1	17	25.0	68.0
NM_018429	BDP1	1	1.0	100.0
NM_022132	MCCC2	17	21.0	80.95238095238095
NM_001363147	MCCC2	15	21.0	71.42857142857143
NM_005909	MAP1B	5	5.0	100.0
NM_001324255	MAP1B	5	5.0	100.0
NM_001292004	HEXB	23	44.0	52.27272727272727
NM_000521	HEXB	36	44.0	81.81818181818183
NR_104006	GFM2	3	7.0	42.857142857142854
NM_170691	GFM2	3	7.0	42.857142857142854
NM_032380	GFM2	3	7.0	42.857142857142854
NM_001281302	GFM2	3	7.0	42.857142857142854
NM_170681	GFM2	3	7.0	42.857142857142854
NM_031361	CERT1	5	5.0	100.0
NM_005713	CERT1	5	5.0	100.0
NM_001130105	CERT1	5	5.0	100.0
NR_144315	POLK	18	20.0	90.0
NM_001345922	POLK	20	20.0	100.0
NM_016218	POLK	20	20.0	100.0
NM_001345921	POLK	19	20.0	95.0
NM_001349753	PDE8B	2	2.0	100.0
NM_001349749	PDE8B	2	2.0	100.0
NM_003719	PDE8B	2	2.0	100.0
NM_001029852	PDE8B	2	2.0	100.0
NM_001029854	PDE8B	2	2.0	100.0
NM_001029851	PDE8B	2	2.0	100.0
NM_001349748	PDE8B	2	2.0	100.0
NM_001349751	PDE8B	2	2.0	100.0
NM_001029853	PDE8B	2	2.0	100.0
NM_001271769	AP3B1	8	8.0	100.0
NM_003664	AP3B1	8	8.0	100.0
NM_000046	ARSB	98	110.0	89.0909090909091
NM_198709	ARSB	82	110.0	74.54545454545455
NR_146172	ZFYVE16	1	1.0	100.0
NR_146174	ZFYVE16	1	1.0	100.0
NR_146173	ZFYVE16	1	1.0	100.0
NM_001105251	ZFYVE16	1	1.0	100.0
NM_001349434	ZFYVE16	1	1.0	100.0
NM_001284236	ZFYVE16	1	1.0	100.0
NM_014733	ZFYVE16	1	1.0	100.0
NR_110936	DHFR	1	1.0	100.0
NM_001290354	DHFR	1	1.0	100.0
NM_001290357	DHFR	1	1.0	100.0
NM_000791	DHFR	1	1.0	100.0
NM_002439	MSH3	37	49.0	75.51020408163265
NM_001025	RPS23	2	2.0	100.0
NM_022550	XRCC4	6	7.0	85.71428571428571
NM_001318012	XRCC4	6	7.0	85.71428571428571
NM_022406	XRCC4	6	7.0	85.71428571428571
NM_003401	XRCC4	6	7.0	85.71428571428571
NM_001318013	XRCC4	6	7.0	85.71428571428571
NM_002890	RASA1	44	53.0	83.01886792452831
NM_022650	RASA1	42	53.0	79.24528301886792
NR_157071	CCNH	1		
NM_001363539	CCNH	1		
NM_001364076	CCNH	1		
NR_146284	MEF2C	1	41.0	2.4390243902439024
NM_001364329	MEF2C	31	41.0	75.60975609756098
NM_001364330	MEF2C	31	41.0	75.60975609756098
NM_001364333	MEF2C	31	41.0	75.60975609756098
NM_001193350	MEF2C	31	41.0	75.60975609756098
NM_001364344	MEF2C	31	41.0	75.60975609756098
NM_001308002	MEF2C	31	41.0	75.60975609756098
NM_002397	MEF2C	31	41.0	75.60975609756098
NM_001364331	MEF2C	31	41.0	75.60975609756098
NM_001364353	MEF2C	12	41.0	29.268292682926827
NM_001131005	MEF2C	31	41.0	75.60975609756098
NM_001193347	MEF2C	31	41.0	75.60975609756098
NM_001364345	MEF2C	31	41.0	75.60975609756098
NM_001364354	MEF2C	31	41.0	75.60975609756098
NM_001364352	MEF2C	31	41.0	75.60975609756098
NM_001364349	MEF2C	31	41.0	75.60975609756098
NM_001364347	MEF2C	31	41.0	75.60975609756098
NM_001364355	MEF2C	31	41.0	75.60975609756098
NM_001364348	MEF2C	31	41.0	75.60975609756098
NM_001364346	MEF2C	31	41.0	75.60975609756098
NM_001193348	MEF2C	31	41.0	75.60975609756098
NM_001364334	MEF2C	31	41.0	75.60975609756098
NM_001364335	MEF2C	31	41.0	75.60975609756098
NM_001364332	MEF2C	31	41.0	75.60975609756098
NM_001364343	MEF2C	31	41.0	75.60975609756098
NM_001364338	MEF2C	31	41.0	75.60975609756098
NM_001364339	MEF2C	31	41.0	75.60975609756098
NM_001364337	MEF2C	31	41.0	75.60975609756098
NM_001193349	MEF2C	31	41.0	75.60975609756098
NM_001364340	MEF2C	31	41.0	75.60975609756098
NM_001364336	MEF2C	31	41.0	75.60975609756098
NM_001364342	MEF2C	31	41.0	75.60975609756098
NM_001364341	MEF2C	31	41.0	75.60975609756098
NM_001364350	MEF2C	31	41.0	75.60975609756098
NM_001364357	MEF2C	12	41.0	29.268292682926827
NM_001364356	MEF2C	12	41.0	29.268292682926827
NM_001363581	MEF2C	31	41.0	75.60975609756098
NR_003149	ADGRV1	66	73.0	90.41095890410958
NM_032119	ADGRV1	66	73.0	90.41095890410958
NM_005654	NR2F1	21	21.0	100.0
NM_001145678	KIAA0825	2	2.0	100.0
NM_173665	KIAA0825	1	2.0	50.0
NM_014639	TTC37	8	12.0	66.66666666666666
NM_000439	PCSK1	2	3.0	66.66666666666666
NM_001177875	PCSK1	2	3.0	66.66666666666666
NR_104285	CAST	1	3.0	33.33333333333333
NM_001042442	CAST	3	3.0	100.0
NM_001190442	CAST	3	3.0	100.0
NM_001750	CAST	3	3.0	100.0
NM_001042441	CAST	3	3.0	100.0
NM_001330626	CAST	3	3.0	100.0
NM_001042440	CAST	3	3.0	100.0
NM_001330627	CAST	3	3.0	100.0
NM_001330629	CAST	3	3.0	100.0
NM_001330628	CAST	3	3.0	100.0
NM_001042443	CAST	3	3.0	100.0
NM_001330631	CAST	3	3.0	100.0
NM_001330633	CAST	3	3.0	100.0
NM_001330634	CAST	3	3.0	100.0
NM_173060	CAST	3	3.0	100.0
NM_001330632	CAST	3	3.0	100.0
NM_001042445	CAST	3	3.0	100.0
NM_001284213	CAST	3	3.0	100.0
NM_001042444	CAST	3	3.0	100.0
NM_001284212	CAST	3	3.0	100.0
NM_001042446	CAST	3	3.0	100.0
NM_001330630	CAST	3	3.0	100.0
NM_001349244	ERAP1	1		
NM_016442	ERAP1	1		
NR_157079	CHD1	3	3.0	100.0
NR_157078	CHD1	3	3.0	100.0
NM_001270	CHD1	3	3.0	100.0
NM_001364113	CHD1	3	3.0	100.0
NM_001281471	PPIP5K2	1	1.0	100.0
NM_001345872	PPIP5K2	1	1.0	100.0
NM_001276277	PPIP5K2	1	1.0	100.0
NM_015216	PPIP5K2	1	1.0	100.0
NM_001345876	PPIP5K2	1	1.0	100.0
NM_001345871	PPIP5K2	1	1.0	100.0
NM_001345874	PPIP5K2	1	1.0	100.0
NM_001345875	PPIP5K2	1	1.0	100.0
NM_001345873	PPIP5K2	1	1.0	100.0
NM_001345878	PPIP5K2	1	1.0	100.0
NM_001345877	PPIP5K2	1	1.0	100.0
NR_138151	SLC25A46	14	15.0	93.33333333333333
NM_001303250	SLC25A46	11	15.0	73.33333333333333
NM_138773	SLC25A46	14	15.0	93.33333333333333
NM_001303249	SLC25A46	10	15.0	66.66666666666666
NR_144931	EPB41L4A	1	1.0	100.0
NM_001347887	EPB41L4A	1	1.0	100.0
NM_022140	EPB41L4A	1	1.0	100.0
NM_001354895	APC	707	774.0	91.343669250646
NM_001354897	APC	697	774.0	90.05167958656331
NM_001354902	APC	671	774.0	86.69250645994832
NM_001127511	APC	685	774.0	88.50129198966408
NM_001127510	APC	704	774.0	90.95607235142118
NM_001354898	APC	694	774.0	89.66408268733849
NM_001354904	APC	668	774.0	86.30490956072352
NM_001354906	APC	704	774.0	90.95607235142118
NM_001354896	APC	704	774.0	90.95607235142118
NM_000038	APC	704	774.0	90.95607235142118
NM_001354903	APC	678	774.0	87.59689922480621
NM_001354899	APC	692	774.0	89.40568475452196
NM_001354900	APC	694	774.0	89.66408268733849
NM_001354901	APC	694	774.0	89.66408268733849
NM_001354905	APC	668	774.0	86.30490956072352
NM_001085377	MCC	2	2.0	100.0
NM_002387	MCC	2	2.0	100.0
NM_001372233	KCNN2	1	1.0	100.0
NM_021614	KCNN2	1	1.0	100.0
NM_001300752	TRIM36	1	1.0	100.0
NM_018700	TRIM36	1	1.0	100.0
NM_001300759	TRIM36	1	1.0	100.0
NM_001199291	HSD17B4	27	49.0	55.10204081632652
NM_001292028	HSD17B4	27	49.0	55.10204081632652
NM_001292027	HSD17B4	27	49.0	55.10204081632652
NM_000414	HSD17B4	27	49.0	55.10204081632652
NM_001199292	HSD17B4	26	49.0	53.06122448979592
NM_002317	LOX	7	9.0	77.77777777777779
NM_001178102	LOX	4	9.0	44.44444444444444
NM_001317073	LOX	4	9.0	44.44444444444444
NM_001166226	CEP120	8	9.0	88.88888888888889
NM_153223	CEP120	8	9.0	88.88888888888889
NM_001202404	ALDH7A1	32	49.0	65.3061224489796
NM_001182	ALDH7A1	33	49.0	67.3469387755102
NM_001201377	ALDH7A1	33	49.0	67.3469387755102
NM_001308119	MEGF10	7	18.0	38.88888888888889
NM_001308121	MEGF10	7	18.0	38.88888888888889
NM_032446	MEGF10	13	18.0	72.22222222222221
NM_001256545	MEGF10	13	18.0	72.22222222222221
NR_046207	SLC12A2	1	1.0	100.0
NM_001046	SLC12A2	1	1.0	100.0
NM_001256461	SLC12A2	1	1.0	100.0
NM_001999	FBN2	23	39.0	58.97435897435898
NR_024610	HINT1	5	5.0	100.0
NR_134494	HINT1	5	5.0	100.0
NR_134495	HINT1	5	5.0	100.0
NR_024611	HINT1	5	5.0	100.0
NR_073488	HINT1	5	5.0	100.0
NM_005340	HINT1	5	5.0	100.0
NR_121658	LYRM7	1	5.0	20.0
NM_181705	LYRM7	4	5.0	80.0
NM_001293735	LYRM7	1	5.0	20.0
NM_001365681	P4HA2	2	3.0	66.66666666666666
NM_001365677	P4HA2	3	3.0	100.0
NM_001017974	P4HA2	2	3.0	66.66666666666666
NM_001142599	P4HA2	3	3.0	100.0
NM_001142598	P4HA2	2	3.0	66.66666666666666
NM_001365680	P4HA2	2	3.0	66.66666666666666
NM_001365678	P4HA2	2	3.0	66.66666666666666
NM_001365679	P4HA2	2	3.0	66.66666666666666
NM_004199	P4HA2	3	3.0	100.0
NR_110997	MIR3936HG	1		
NM_001308122	SLC22A5	52	68.0	76.47058823529412
NM_003060	SLC22A5	52	68.0	76.47058823529412
NM_005732	RAD50	146	181.0	80.66298342541437
NR_132124	TH2LCRR	4		
NR_132125	TH2LCRR	13		
NR_132126	TH2LCRR	10		
NM_001288824	GDF9	1	1.0	100.0
NM_001288825	GDF9	1	1.0	100.0
NM_001288828	GDF9	1	1.0	100.0
NM_001288826	GDF9	1	1.0	100.0
NM_001288827	GDF9	1	1.0	100.0
NM_005260	GDF9	1	1.0	100.0
NR_149151	PPP2CA	11	11.0	100.0
NM_002715	PPP2CA	11	11.0	100.0
NM_001355019	PPP2CA	11	11.0	100.0
NM_016103	SAR1B	4	5.0	80.0
NM_001033503	SAR1B	4	5.0	80.0
NM_024715	TXNDC15	1	2.0	50.0
NM_001350735	TXNDC15	1	2.0	50.0
NM_002653	PITX1	2	3.0	66.66666666666666
NM_017415	KLHL3	8	9.0	88.88888888888889
NM_001257194	KLHL3	8	9.0	88.88888888888889
NM_001257195	KLHL3	7	9.0	77.77777777777779
NM_006790	MYOT	5	5.0	100.0
NM_001300911	MYOT	1	5.0	20.0
NM_016604	KDM3B	1	1.0	100.0
NM_004134	HSPA9	2	3.0	66.66666666666666
NM_001290307	CTNNA1	1	1.0	100.0
NM_001323982	CTNNA1	1	1.0	100.0
NM_001323984	CTNNA1	1	1.0	100.0
NM_001903	CTNNA1	1	1.0	100.0
NM_001323985	CTNNA1	1	1.0	100.0
NM_001323986	CTNNA1	1	1.0	100.0
NM_001290310	CTNNA1	1	1.0	100.0
NM_001323983	CTNNA1	1	1.0	100.0
NM_022464	SIL1	9	13.0	69.23076923076923
NM_001037633	SIL1	9	13.0	69.23076923076923
NM_001367258	STING1	1	1.0	100.0
NM_198282	STING1	1	1.0	100.0
NM_005859	PURA	74	74.0	100.0
NR_033697	NDUFA2	1	2.0	50.0
NM_002488	NDUFA2	1	2.0	50.0
NM_001185012	NDUFA2	1	2.0	50.0
NM_001289094	HARS1	2	2.0	100.0
NM_001289093	HARS1	1	2.0	50.0
NM_001258042	HARS1	2	2.0	100.0
NM_001258040	HARS1	2	2.0	100.0
NM_001289092	HARS1	1	2.0	50.0
NM_001258041	HARS1	2	2.0	100.0
NM_002109	HARS1	1	2.0	50.0
NM_001278732	HARS2	8	9.0	88.88888888888889
NM_001363535	HARS2	9	9.0	100.0
NM_012208	HARS2	9	9.0	100.0
NM_001278731	HARS2	7	9.0	77.77777777777779
NM_001363536	HARS2	8	9.0	88.88888888888889
NM_018938	PCDHB4	1		
NM_001079812	DIAPH1	9	10.0	90.0
NM_005219	DIAPH1	9	10.0	90.0
NM_001314007	DIAPH1	9	10.0	90.0
NR_149166	HDAC3	2	2.0	100.0
NR_149165	HDAC3	2	2.0	100.0
NR_149164	HDAC3	2	2.0	100.0
NR_149169	HDAC3	2	2.0	100.0
NR_149168	HDAC3	2	2.0	100.0
NR_149167	HDAC3	2	2.0	100.0
NM_001355040	HDAC3	2	2.0	100.0
NM_001355041	HDAC3	2	2.0	100.0
NM_003883	HDAC3	2	2.0	100.0
NM_001355039	HDAC3	2	2.0	100.0
NM_016580	PCDH12	7	7.0	100.0
NM_001127496	SPRY4	2	2.0	100.0
NM_030964	SPRY4	2	2.0	100.0
NM_001293290	SPRY4	2	2.0	100.0
NM_001293289	SPRY4	2	2.0	100.0
NM_001080516	GRXCR2	1	1.0	100.0
NM_001317965	LARS1	5	6.0	83.33333333333334
NM_016460	LARS1	6	6.0	100.0
NM_001317964	LARS1	6	6.0	100.0
NM_020117	LARS1	6	6.0	100.0
NM_002700	POU4F3	7	7.0	100.0
NM_003122	SPINK1	5	8.0	62.5
NM_001354966	SPINK1	5	8.0	62.5
NM_006846	SPINK5	28	38.0	73.68421052631578
NM_001127698	SPINK5	28	38.0	73.68421052631578
NM_001127699	SPINK5	28	38.0	73.68421052631578
NM_024577	SH3TC2	42	54.0	77.77777777777779
NM_000440	PDE6A	16	23.0	69.56521739130434
NM_000112	SLC26A2	63	67.0	94.02985074626866
NR_109969	CSF1R	41	50.0	82.0
NM_005211	CSF1R	42	50.0	84.0
NM_001349736	CSF1R	42	50.0	84.0
NM_001288705	CSF1R	42	50.0	84.0
NM_001355016	PDGFRB	8	8.0	100.0
NM_002609	PDGFRB	8	8.0	100.0
NM_001355017	PDGFRB	8	8.0	100.0
NM_001363990	CAMK2A	10	13.0	76.92307692307693
NM_001363989	CAMK2A	10	13.0	76.92307692307693
NM_171825	CAMK2A	10	13.0	76.92307692307693
NM_001369025	CAMK2A	10	13.0	76.92307692307693
NM_015981	CAMK2A	10	13.0	76.92307692307693
NM_001135243	TCOF1	42	46.0	91.30434782608695
NM_001371623	TCOF1	42	46.0	91.30434782608695
NM_001135244	TCOF1	42	46.0	91.30434782608695
NM_001195141	TCOF1	42	46.0	91.30434782608695
NM_001135245	TCOF1	41	46.0	89.13043478260869
NM_000356	TCOF1	41	46.0	89.13043478260869
NM_001008657	TCOF1	24	46.0	52.17391304347826
NM_001346557	IRGM	1	1.0	100.0
NM_001145805	IRGM	1	1.0	100.0
NM_000405	GM2A	4	5.0	80.0
NM_001167607	GM2A	2	5.0	40.0
NM_001309443	SPARC	2	2.0	100.0
NM_001309444	SPARC	2	2.0	100.0
NM_003118	SPARC	2	2.0	100.0
NM_001292000	GLRA1	23	26.0	88.46153846153845
NM_000171	GLRA1	24	26.0	92.3076923076923
NM_001146040	GLRA1	24	26.0	92.3076923076923
NM_000337	SGCD	12	17.0	70.58823529411765
NM_001128209	SGCD	12	17.0	70.58823529411765
NM_172244	SGCD	12	17.0	70.58823529411765
NM_005546	ITK	3	3.0	100.0
NM_001291722	CYFIP2	2	2.0	100.0
NM_001037333	CYFIP2	2	2.0	100.0
NM_014376	CYFIP2	2	2.0	100.0
NM_001099287	NIPAL4	22	27.0	81.48148148148148
NM_001172292	NIPAL4	21	27.0	77.77777777777779
NM_002187	IL12B	3	3.0	100.0
NM_001282500	TTC1	1	1.0	100.0
NM_003314	TTC1	1	1.0	100.0
