#hg19.refGene.name	hg19.knownToEnsembl.value
NM_013936	ENST00000414415,ENST00000438569,ENST00000377140,ENST00000432767,ENST00000383555,
NM_013937	ENST00000551986,ENST00000547506,ENST00000549749,ENST00000552225,ENST00000547645,ENST00000546665,ENST00000548813,ENST00000377147,
NM_013941	ENST00000377138,ENST00000503212,ENST00000455234,ENST00000457403,ENST00000437403,ENST00000391549,ENST00000428644,ENST00000444197,
NM_001318014	n/a
NM_001348208	n/a
NM_052967	ENST00000449044,ENST00000383643,ENST00000418003,ENST00000420035,ENST00000415802,ENST00000383549,ENST00000451019,ENST00000377127,
NM_030883	ENST00000491531,ENST00000421808,ENST00000412956,ENST00000400713,ENST00000383644,ENST00000461453,ENST00000460440,ENST00000454071,ENST00000440557,ENST00000493309,ENST00000489416,ENST00000458051,ENST00000415581,ENST00000486630,ENST00000436167,ENST00000440672,ENST00000487930,ENST00000473147,ENST00000400693,ENST00000383550,ENST00000483331,ENST00000449826,ENST00000446161,ENST00000498404,ENST00000488377,ENST00000377133,ENST00000377132,ENST00000484554,ENST00000396792,
NM_001318022	n/a
NR_145489	n/a
NM_001319053	n/a
NM_007160	ENST00000411574,ENST00000376947,ENST00000453513,ENST00000454628,ENST00000439874,ENST00000383546,ENST00000383640,
NM_021904	ENST00000425097,ENST00000383638,ENST00000439457,ENST00000418225,ENST00000423604,ENST00000383542,ENST00000377034,
NM_021903	ENST00000417759,ENST00000446436,ENST00000425097,ENST00000383639,ENST00000383636,ENST00000383638,ENST00000449163,ENST00000452300,ENST00000439457,ENST00000448754,ENST00000458612,ENST00000418225,ENST00000438094,ENST00000414980,ENST00000423604,ENST00000383543,ENST00000383537,ENST00000383542,ENST00000355973,ENST00000377012,ENST00000377034,
NR_037179	ENST00000457219,ENST00000437693,ENST00000453238,ENST00000431265,ENST00000438483,ENST00000448853,ENST00000444360,ENST00000434657,
NR_037180	ENST00000457219,ENST00000437693,ENST00000453238,ENST00000431265,ENST00000438483,ENST00000448853,ENST00000444360,ENST00000434657,
NR_037181	ENST00000457219,ENST00000437693,ENST00000453238,ENST00000431265,ENST00000438483,ENST00000448853,ENST00000444360,ENST00000434657,
NR_003049	ENST00000580950,ENST00000580093,ENST00000581263,ENST00000578141,ENST00000578860,ENST00000581848,ENST00000364460,
NM_006398	ENST00000421519,ENST00000383641,ENST00000414436,ENST00000429935,ENST00000432676,ENST00000383547,ENST00000377050,
NM_001470	ENST00000425097,ENST00000383638,ENST00000439457,ENST00000418225,ENST00000423604,ENST00000383542,ENST00000377034,
NM_001363610	n/a
NM_001109809	ENST00000548574,ENST00000548769,ENST00000432222,ENST00000548337,ENST00000549167,ENST00000552809,ENST00000553137,ENST00000488757,
NM_001098479	ENST00000428296,ENST00000383627,ENST00000445657,ENST00000383516,ENST00000430472,ENST00000259951,
NM_001098478	ENST00000422711,ENST00000383626,ENST00000435058,ENST00000342322,ENST00000422439,ENST00000444891,ENST00000376861,
NM_001170418	ENST00000551175,ENST00000547083,ENST00000548017,ENST00000551993,ENST00000550849,ENST00000452744,ENST00000553111,ENST00000376917,
NM_001366333	n/a
NM_018950	ENST00000551832,ENST00000422711,ENST00000485297,ENST00000550932,ENST00000383626,ENST00000489167,ENST00000551780,ENST00000435058,ENST00000490259,ENST00000552082,ENST00000342322,ENST00000496199,ENST00000422439,ENST00000549422,ENST00000444891,ENST00000463731,ENST00000334668,ENST00000376861,ENST00000475996,
NM_001008228	ENST00000551175,ENST00000547083,ENST00000548017,ENST00000551993,ENST00000550849,ENST00000452744,ENST00000553111,ENST00000376917,
NR_026972	ENST00000422960,ENST00000383625,ENST00000432068,ENST00000383511,ENST00000440776,ENST00000399247,
NR_026973	ENST00000422960,ENST00000383625,ENST00000549439,ENST00000383511,ENST00000440776,ENST00000399247,
NR_001590	ENST00000443869,ENST00000434590,ENST00000417445,ENST00000414714,ENST00000456851,ENST00000439894,ENST00000441380,
NM_001008229	ENST00000550349,ENST00000548042,ENST00000549967,ENST00000548951,ENST00000551392,ENST00000547913,ENST00000547293,ENST00000548521,ENST00000552956,ENST00000549492,ENST00000452744,ENST00000547390,ENST00000549239,ENST00000533330,ENST00000376917,
NM_002433	ENST00000550349,ENST00000549967,ENST00000551392,ENST00000547293,ENST00000552956,ENST00000452744,ENST00000547390,ENST00000376917,
NM_206809	ENST00000425145,ENST00000550349,ENST00000259891,ENST00000549967,ENST00000449096,ENST00000551392,ENST00000423895,ENST00000547293,ENST00000439884,ENST00000552956,ENST00000429153,ENST00000452744,ENST00000419309,ENST00000547390,ENST00000376894,ENST00000376917,
NM_206811	ENST00000551175,ENST00000547083,ENST00000548017,ENST00000551993,ENST00000550849,ENST00000452744,ENST00000553111,ENST00000376917,
NM_206812	ENST00000551175,ENST00000547083,ENST00000548017,ENST00000551993,ENST00000550849,ENST00000452744,ENST00000553111,ENST00000376917,
NM_206810	ENST00000551175,ENST00000547083,ENST00000548017,ENST00000551993,ENST00000550849,ENST00000452744,ENST00000553111,ENST00000376917,
NM_206814	ENST00000550349,ENST00000549967,ENST00000551392,ENST00000547293,ENST00000552956,ENST00000452744,ENST00000547390,ENST00000376917,
NR_001434	ENST00000449501,ENST00000429724,ENST00000437287,ENST00000451304,ENST00000499304,ENST00000450024,
NM_001363567	n/a
NR_002139	ENST00000440044,ENST00000446132,ENST00000455365,ENST00000422598,ENST00000418983,
NR_132323	n/a
NR_145416	n/a
NR_031762	n/a
NM_002127	ENST00000546634,ENST00000420559,ENST00000423373,ENST00000400682,ENST00000553052,ENST00000422371,ENST00000550897,ENST00000428952,ENST00000400665,ENST00000546545,ENST00000450984,ENST00000547931,ENST00000449127,ENST00000434881,ENST00000547241,ENST00000428701,ENST00000376828,ENST00000360323,
NR_001317	ENST00000550894
NR_028032	ENST00000422999,ENST00000383616,ENST00000413215,ENST00000445934,ENST00000416207,ENST00000412026,ENST00000376800,
NR_024240	ENST00000468687,ENST00000461713,ENST00000486252,ENST00000473396,ENST00000492006,ENST00000460029,ENST00000494425,ENST00000469281,
NM_002116	ENST00000396634,ENST00000479320,
NM_170783	ENST00000437373,ENST00000400662,ENST00000443494,ENST00000417738,ENST00000455948,ENST00000432904,ENST00000417275,ENST00000332435,
NM_006778	ENST00000426996,ENST00000354038,ENST00000449208,ENST00000431258,ENST00000451727,ENST00000456988,ENST00000448645,ENST00000449742,
NM_021959	ENST00000452679,ENST00000383612,ENST00000437937,ENST00000431424,ENST00000436591,ENST00000448378,ENST00000449087,ENST00000376772,
NM_025236	ENST00000456156,ENST00000383611,ENST00000450015,ENST00000449145,ENST00000425956,ENST00000432647,ENST00000420562,ENST00000244360,
NR_134871	n/a
NM_001286633	n/a
NR_134870	n/a
NM_001278785	n/a
NM_001278786	n/a
NM_014596	ENST00000433264,ENST00000400660,ENST00000443142,ENST00000441251,ENST00000446493,ENST00000432227,ENST00000442585,ENST00000359374,
NM_052828	ENST00000413055,ENST00000259941,ENST00000446013,ENST00000447465,ENST00000417411,ENST00000456988,ENST00000428611,ENST00000376704,
NR_103864	n/a
NR_145417	n/a
NR_145418	n/a
NM_170769	ENST00000456156,ENST00000383611,ENST00000450015,ENST00000449145,ENST00000425956,ENST00000432647,ENST00000420562,ENST00000244360,
NR_126470	n/a
NM_138700	ENST00000431397,ENST00000548672,ENST00000383610,ENST00000547289,ENST00000433713,ENST00000434151,ENST00000549728,ENST00000437563,ENST00000552119,ENST00000425845,ENST00000430485,ENST00000396581,ENST00000376724,
NM_033229	ENST00000427091,ENST00000259930,ENST00000414873,ENST00000431059,ENST00000421984,ENST00000429524,ENST00000430090,ENST00000376694,
NM_007028	ENST00000433864,ENST00000357569,ENST00000422484,ENST00000453266,ENST00000455349,ENST00000449412,ENST00000445679,ENST00000376734,
NM_003449	ENST00000433314,ENST00000447711,ENST00000327357,ENST00000456770,ENST00000439094,ENST00000450392,ENST00000415923,ENST00000438908,ENST00000455000,ENST00000438384,ENST00000432326,ENST00000422349,ENST00000445259,ENST00000437089,ENST00000454678,
NM_001242783	ENST00000456093,ENST00000396558,ENST00000425523,ENST00000428486,ENST00000436219,ENST00000425831,ENST00000427535,ENST00000453195,
NR_027822	ENST00000476982,ENST00000460301,ENST00000491405,ENST00000482187,ENST00000497494,ENST00000463348,
NR_106951	n/a
NM_001199121	ENST00000430819,ENST00000456870,ENST00000412659,ENST00000411515,ENST00000455025,ENST00000425575,ENST00000433076,
NM_024839	ENST00000430819,ENST00000452262,ENST00000456870,ENST00000422320,ENST00000412659,ENST00000439624,ENST00000411515,ENST00000413228,ENST00000455025,ENST00000411784,ENST00000425575,ENST00000430900,ENST00000433076,ENST00000428040,
NM_172016	ENST00000438076,ENST00000433900,ENST00000400644,ENST00000383603,ENST00000458607,ENST00000431272,ENST00000438859,ENST00000450778,ENST00000440117,ENST00000414015,ENST00000452705,ENST00000419790,ENST00000396551,ENST00000376659,
NM_001199119	ENST00000551862,ENST00000550618,ENST00000550581,ENST00000552136,ENST00000552950,ENST00000552257,ENST00000513556,
NM_001369521	n/a
NM_001199120	ENST00000430819,ENST00000456870,ENST00000412659,ENST00000411515,ENST00000455025,ENST00000425575,ENST00000433076,
NM_001369522	n/a
NM_001369523	n/a
NM_021253	ENST00000548002,ENST00000550282,ENST00000549841,ENST00000552337,ENST00000547030,ENST00000552520,ENST00000376656,
NM_005516	ENST00000415289,ENST00000383597,ENST00000425603,ENST00000415649,ENST00000444683,ENST00000427936,ENST00000376630,
NM_005275	ENST00000428189,ENST00000383596,ENST00000383450,ENST00000454829,ENST00000441604,ENST00000437917,ENST00000417834,ENST00000376621,
NM_025263	ENST00000454399,ENST00000383592,ENST00000427729,ENST00000432371,ENST00000449754,ENST00000453232,ENST00000376560,
NR_149088	n/a
NM_001077497	ENST00000454399,ENST00000383592,ENST00000427729,ENST00000432371,ENST00000449754,ENST00000453232,ENST00000376560,
NM_001164239	ENST00000451748,ENST00000424672,ENST00000383576,ENST00000383577,ENST00000450902,ENST00000414052,ENST00000451456,ENST00000449861,ENST00000417308,ENST00000453879,ENST00000458094,ENST00000445379,ENST00000421095,ENST00000376437,ENST00000376442,
NM_024909	ENST00000446100,ENST00000400575,ENST00000423654,ENST00000457161,ENST00000418248,ENST00000411724,ENST00000376483,
NM_001254952	ENST00000443114,ENST00000383584,ENST00000449905,ENST00000423338,ENST00000417183,ENST00000416917,ENST00000318999,
NM_001161376	ENST00000547308,ENST00000549361,ENST00000549861,ENST00000552569,ENST00000549800,ENST00000546452,ENST00000293604,
NR_073066	n/a
NM_001363515	n/a
NM_001270707	ENST00000422747,ENST00000383571,ENST00000427944,ENST00000431322,ENST00000438502,ENST00000422181,ENST00000259953,
NM_014046	ENST00000430402,ENST00000327800,ENST00000451032,ENST00000454427,ENST00000426945,ENST00000412451,ENST00000259873,
NM_007243	ENST00000422747,ENST00000383571,ENST00000427944,ENST00000431322,ENST00000438502,ENST00000422181,ENST00000259953,
NR_073065	ENST00000422747,ENST00000383571,ENST00000427944,ENST00000431322,ENST00000438502,ENST00000422181,ENST00000259953,
NM_002714	ENST00000449113,ENST00000383586,ENST00000424446,ENST00000420949,ENST00000426299,ENST00000429597,ENST00000376511,
NM_001318762	n/a
NM_001318763	n/a
NM_001190724	n/a
NM_001109938	ENST00000547308,ENST00000549361,ENST00000549861,ENST00000552569,ENST00000549800,ENST00000546452,ENST00000293604,
NM_145029	ENST00000547308,ENST00000549361,ENST00000549861,ENST00000552569,ENST00000549800,ENST00000546452,ENST00000293604,
NR_033823	n/a
NR_030615	ENST00000583429,ENST00000577884,ENST00000581470,ENST00000578281,ENST00000578184,ENST00000582497,ENST00000401282,
NR_072994	ENST00000449113,ENST00000383586,ENST00000424446,ENST00000420949,ENST00000426299,ENST00000429597,ENST00000376511,
NR_073072	n/a
NM_001270709	ENST00000444252,ENST00000422747,ENST00000430286,ENST00000383571,ENST00000446443,ENST00000427944,ENST00000434776,ENST00000431322,ENST00000436892,ENST00000438502,ENST00000411883,ENST00000422181,ENST00000444096,ENST00000259953,
NM_001270710	ENST00000422747,ENST00000383571,ENST00000427944,ENST00000431322,ENST00000438502,ENST00000422181,ENST00000259953,
NM_001270708	ENST00000422747,ENST00000383571,ENST00000427944,ENST00000431322,ENST00000438502,ENST00000422181,ENST00000259953,
NM_001134870	ENST00000455935,ENST00000400554,ENST00000438815,ENST00000443517,ENST00000412189,ENST00000437121,ENST00000274853,
NM_003587	ENST00000424672,ENST00000383577,ENST00000450902,ENST00000451456,ENST00000417308,ENST00000458094,ENST00000421095,ENST00000376442,
NM_001031722	ENST00000446100,ENST00000443114,ENST00000448670,ENST00000400575,ENST00000383584,ENST00000383582,ENST00000423654,ENST00000449905,ENST00000416435,ENST00000457161,ENST00000423338,ENST00000425448,ENST00000418248,ENST00000417183,ENST00000432643,ENST00000411724,ENST00000416917,ENST00000457334,ENST00000376483,ENST00000318999,ENST00000330083,
NM_133471	ENST00000455935,ENST00000400554,ENST00000438815,ENST00000443517,ENST00000412189,ENST00000437121,ENST00000274853,
NM_178014	ENST00000419792,ENST00000436335,ENST00000383564,ENST00000400531,ENST00000421473,ENST00000413547,ENST00000436628,ENST00000437490,ENST00000422674,ENST00000435546,ENST00000422650,ENST00000454454,ENST00000432462,ENST00000427480,ENST00000327892,ENST00000330914,
NM_001293212	n/a
NM_001293216	n/a
NM_001293215	n/a
NM_001293214	n/a
NM_003897	ENST00000416884,ENST00000383560,ENST00000450236,ENST00000439190,ENST00000435856,ENST00000259874,
NR_120608	n/a
NM_001318875	n/a
NR_149095	n/a
NR_138037	n/a
NR_130726	n/a
NM_001293213	n/a
NM_005803	ENST00000383382,ENST00000383562,ENST00000427701,ENST00000436822,ENST00000446072,ENST00000444632,ENST00000376389,
NM_001167734	ENST00000428577,ENST00000383540,ENST00000415079,ENST00000383369,ENST00000450090,ENST00000321897,
NM_001297653	n/a
NM_013994	ENST00000548133,ENST00000550395,ENST00000552068,ENST00000553015,ENST00000376575,
NM_001167733	ENST00000428577,ENST00000383540,ENST00000469311,ENST00000415079,ENST00000383369,ENST00000450090,ENST00000477288,ENST00000321897,
NM_013993	ENST00000412329,ENST00000449518,ENST00000400492,ENST00000400491,ENST00000430933,ENST00000429699,ENST00000383377,ENST00000400414,ENST00000324771,
NM_001202523	ENST00000415092,ENST00000400488,ENST00000454774,ENST00000400411,ENST00000376569,
NM_080870	ENST00000547450,ENST00000414703,ENST00000416153,ENST00000548730,ENST00000304311,
NR_134610	n/a
NM_205854	ENST00000457919,ENST00000383539,ENST00000429290,ENST00000448586,ENST00000454649,ENST00000359086,
NM_001517	ENST00000440824,ENST00000494704,ENST00000464084,ENST00000376326,ENST00000459745,ENST00000475673,ENST00000456968,ENST00000480149,ENST00000469311,ENST00000413314,ENST00000472251,ENST00000469489,ENST00000434226,ENST00000484029,ENST00000493326,ENST00000539324,ENST00000477288,
NM_020442	ENST00000464084,ENST00000428577,ENST00000475673,ENST00000383540,ENST00000415079,ENST00000469489,ENST00000383369,ENST00000493326,ENST00000450090,ENST00000321897,
NM_001297654	n/a
NM_001202521	ENST00000420929,ENST00000415092,ENST00000437449,ENST00000400488,ENST00000434134,ENST00000454774,ENST00000419285,ENST00000400411,ENST00000414077,ENST00000421672,ENST00000426303,ENST00000414077,ENST00000439772,ENST00000433322,ENST00000431373,ENST00000376569,
NR_039783	ENST00000577651,ENST00000579346,ENST00000607451,ENST00000577264,ENST00000584719,ENST00000581824,
NR_138040	n/a
NM_001954	ENST00000415092,ENST00000427053,ENST00000453510,ENST00000400488,ENST00000400489,ENST00000400486,ENST00000454774,ENST00000421229,ENST00000419412,ENST00000400411,ENST00000259875,ENST00000400410,ENST00000454612,ENST00000376569,ENST00000376567,
NM_001297652	n/a
NM_001202522	ENST00000548133,ENST00000415092,ENST00000400488,ENST00000550395,ENST00000454774,ENST00000552068,ENST00000400411,ENST00000553015,ENST00000376569,ENST00000513240,
NM_001318484	n/a
NR_003948	ENST00000412408,ENST00000423997,ENST00000431426,ENST00000458106,ENST00000421410,ENST00000425531,ENST00000425724,ENST00000426185,
NR_145427	n/a
NR_130720	n/a
NM_001198815	ENST00000431128,ENST00000429324,ENST00000426735,ENST00000432263,ENST00000435571,ENST00000431875,ENST00000433203,ENST00000561890,
NM_001010909	ENST00000440457,ENST00000430305,ENST00000451480,ENST00000420532,ENST00000376296,
NM_007109	ENST00000430947,ENST00000400401,ENST00000441405,ENST00000439112,ENST00000442190,ENST00000446038,ENST00000376257,
NM_002701	ENST00000434616,ENST00000383524,ENST00000454714,ENST00000429603,ENST00000433063,ENST00000437747,ENST00000259915,
NM_014069	ENST00000416027,ENST00000383530,ENST00000422316,ENST00000458589,ENST00000413924,ENST00000259845,
NM_001173531	ENST00000412166,ENST00000376243,ENST00000433348,ENST00000451077,ENST00000419095,ENST00000429314,ENST00000606567,
NM_014068	ENST00000420214,ENST00000470382,ENST00000472672,ENST00000441092,ENST00000470548,ENST00000448455,ENST00000470522,ENST00000433334,ENST00000498583,ENST00000259881,
NM_001077511	ENST00000430947,ENST00000400401,ENST00000441405,ENST00000439112,ENST00000442190,ENST00000446038,ENST00000376257,
NM_001285986	n/a
NM_001285987	n/a
NR_026816	ENST00000450562,ENST00000425066,ENST00000376242,ENST00000444400,ENST00000428067,ENST00000414348,ENST00000412143,
NR_152828	n/a
NR_152829	n/a
NR_152830	n/a
NR_152831	n/a
NR_152832	n/a
NR_152833	n/a
NR_152834	n/a
NR_152835	n/a
NR_152836	n/a
NR_152837	n/a
NR_152838	n/a
NR_152839	n/a
NR_026791	ENST00000416945,ENST00000407772,ENST00000452334,ENST00000436256,ENST00000416551,ENST00000383331,
NM_001105563	ENST00000400352,ENST00000400412,ENST00000447252,ENST00000416163,ENST00000419528,ENST00000396268,
NM_019052	ENST00000383341,ENST00000400352,ENST00000383341,ENST00000383527,ENST00000416392,ENST00000447252,ENST00000416392,ENST00000425620,ENST00000416163,ENST00000425620,ENST00000433804,ENST00000419528,ENST00000433804,ENST00000376266,ENST00000509552,
NM_203289	ENST00000412166,ENST00000376243,ENST00000433348,ENST00000451077,ENST00000419095,ENST00000429314,ENST00000513407,
NM_001318908	n/a
NM_001264	ENST00000418599,ENST00000383531,ENST00000445893,ENST00000259726,ENST00000457875,ENST00000376288,
NM_001105564	ENST00000400412,ENST00000396268,
NM_014070	ENST00000427005,ENST00000383532,ENST00000412706,ENST00000452899,ENST00000440933,ENST00000259870,
NM_005514	ENST00000425848,ENST00000412585,
NR_149115	n/a
NR_106951	n/a
NM_002117	ENST00000424832,ENST00000383329,ENST00000487245,ENST00000376237,
NM_001289153	n/a
NR_040662	ENST00000419355,ENST00000455463,ENST00000423496,ENST00000414046,
NM_001289152	n/a
NM_001289154	n/a
NR_148223	n/a
NR_148222	n/a
NR_144465	n/a
NR_002812	n/a
NM_001177519	ENST00000417899,ENST00000427477,ENST00000547767,ENST00000438928,ENST00000415525,ENST00000546529,ENST00000449934,
NM_000594	ENST00000420425,ENST00000383496,ENST00000412275,ENST00000376122,ENST00000448781,ENST00000443707,ENST00000449264,
NM_001289160	n/a
NM_001011700	ENST00000452195,ENST00000383512,ENST00000424816,ENST00000443405,ENST00000421209,ENST00000430073,ENST00000422733,ENST00000376191,
NR_029462	ENST00000450425,ENST00000448441,ENST00000433676,ENST00000455426,ENST00000432009,ENST00000423107,ENST00000455655,ENST00000418507,
NM_032955	ENST00000425748,ENST00000416422,ENST00000383474,ENST00000383473,ENST00000414149,ENST00000419376,ENST00000413349,ENST00000415830,ENST00000440907,ENST00000424944,ENST00000376059,ENST00000376049,
NR_029461	ENST00000450425,ENST00000448441,ENST00000433676,ENST00000455426,ENST00000432009,ENST00000423107,ENST00000455655,ENST00000418507,
NM_005007	ENST00000455376,ENST00000400285,ENST00000432160,ENST00000419122,ENST00000442947,ENST00000424652,ENST00000376148,
NM_000595	ENST00000441939,ENST00000383499,ENST00000454550,ENST00000383304,ENST00000448630,ENST00000412851,ENST00000418386,
NM_001318970	n/a
NM_130463	ENST00000454370,ENST00000383503,ENST00000449748,ENST00000441959,ENST00000454889,ENST00000444088,ENST00000303892,
NM_001204078	ENST00000421596,ENST00000452453,ENST00000434217,ENST00000443657,ENST00000447174,ENST00000448779,ENST00000303892,
NM_005931	ENST00000383514,ENST00000428416,ENST00000400322,ENST00000428416,ENST00000400313,ENST00000428416,ENST00000451603,ENST00000442104,ENST00000428059,ENST00000420259,ENST00000428059,ENST00000458032,ENST00000436655,ENST00000438928,ENST00000443156,ENST00000451789,ENST00000443156,ENST00000252229,ENST00000538442,ENST00000252229,ENST00000399150,
NM_138282	ENST00000454370,ENST00000383503,ENST00000449748,ENST00000441959,ENST00000552135,ENST00000444088,ENST00000303892,
NM_080598	ENST00000461254,ENST00000465849,ENST00000461254,ENST00000546633,ENST00000441425,ENST00000456666,ENST00000485534,ENST00000400295,ENST00000383508,ENST00000462954,ENST00000485534,ENST00000383508,ENST00000487410,ENST00000420337,ENST00000471062,ENST00000473685,ENST00000412330,ENST00000445218,ENST00000467175,ENST00000473685,ENST00000546637,ENST00000485571,ENST00000456476,ENST00000412106,ENST00000482077,ENST00000485571,ENST00000412106,ENST00000494457,ENST00000416863,ENST00000414440,ENST00000494835,ENST00000494457,ENST00000414440,ENST00000489688,ENST00000431360,ENST00000453381,ENST00000496801,ENST00000489688,ENST00000549374,ENST00000462256,ENST00000458640,ENST00000376185,ENST00000481456,ENST00000462256,ENST00000376185,
NR_037853	n/a
NR_003140	ENST00000581427,ENST00000584949,ENST00000580417,ENST00000579412,ENST00000583420,ENST00000578360,ENST00000582702,ENST00000364915,
NR_003065	ENST00000579171,ENST00000583430,ENST00000582411,ENST00000580739,ENST00000582289,ENST00000581604,ENST00000584275,
NR_133674	n/a
NR_133675	n/a
NR_149045	n/a
NM_001145467	ENST00000436623,ENST00000383476,ENST00000457547,ENST00000441372,ENST00000418936,ENST00000412603,ENST00000452296,ENST00000376072,
NM_147130	ENST00000415123,ENST00000383477,ENST00000420556,ENST00000430599,ENST00000447248,ENST00000435674,ENST00000437517,ENST00000340027,
NM_001144963	ENST00000456607,ENST00000400279,ENST00000453377,ENST00000434332,ENST00000430961,ENST00000428467,ENST00000376146,
NM_001159740	ENST00000487391,ENST00000432632,ENST00000400272,ENST00000481446,ENST00000436519,ENST00000479906,ENST00000383303,ENST00000476761,ENST00000456789,ENST00000466460,ENST00000426845,ENST00000464086,ENST00000454783,ENST00000489638,
NM_001145466	ENST00000439584,ENST00000383478,ENST00000432392,ENST00000446756,ENST00000433654,ENST00000455825,ENST00000436253,ENST00000376073,
NM_001144961	ENST00000455376,ENST00000400285,ENST00000432160,ENST00000419122,ENST00000442947,ENST00000424652,ENST00000376148,
NM_001144962	ENST00000456607,ENST00000400279,ENST00000453377,ENST00000434332,ENST00000430961,ENST00000428467,ENST00000376146,
NM_001166538	ENST00000440242,ENST00000383480,ENST00000457549,ENST00000451922,ENST00000420676,ENST00000454168,ENST00000450291,ENST00000376093,
NM_001623	ENST00000425748,ENST00000383474,ENST00000414149,ENST00000413349,ENST00000440907,ENST00000376059,
NM_205838	ENST00000450425,ENST00000437812,ENST00000448441,ENST00000383486,ENST00000433676,ENST00000438335,ENST00000455426,ENST00000412041,ENST00000432009,ENST00000412623,ENST00000423107,ENST00000436037,ENST00000455655,ENST00000448236,ENST00000418507,ENST00000376093,
NM_205840	ENST00000429910,ENST00000400250,ENST00000430997,ENST00000443655,ENST00000422533,ENST00000449273,ENST00000420333,ENST00000303757,
NM_205837	ENST00000451641,ENST00000383484,ENST00000430680,ENST00000452169,ENST00000442052,ENST00000420785,ENST00000438381,ENST00000339530,
NM_001289161	n/a
NM_007161	ENST00000437812,ENST00000383486,ENST00000438335,ENST00000412041,ENST00000412623,ENST00000436037,ENST00000448236,ENST00000376093,
NM_205839	ENST00000427507,ENST00000443340,ENST00000443741,ENST00000437137,ENST00000434314,ENST00000455901,ENST00000453995,ENST00000438075,
NM_004640	ENST00000453138,ENST00000400296,ENST00000448296,ENST00000415689,ENST00000413678,ENST00000430784,ENST00000396172,
NR_037852	ENST00000453138,ENST00000400296,ENST00000448296,ENST00000415689,ENST00000413678,ENST00000430784,ENST00000396172,
NM_009588	ENST00000464122,ENST00000474845,ENST00000474599,ENST00000468184,ENST00000493025,ENST00000471690,ENST00000486265,ENST00000446745,
NM_002341	ENST00000444479,ENST00000383493,ENST00000457552,ENST00000420402,ENST00000376117,ENST00000456113,ENST00000421268,ENST00000429299,
NM_021221	ENST00000443812,ENST00000484964,ENST00000383431,ENST00000462244,ENST00000451335,ENST00000480515,ENST00000413083,ENST00000480530,ENST00000416194,ENST00000471674,ENST00000437010,ENST00000490011,ENST00000375880,ENST00000375864,
NM_001287594	n/a
NR_033488	n/a
NM_001287593	n/a
NM_080703	ENST00000434446,ENST00000383448,ENST00000415345,ENST00000417144,ENST00000412012,ENST00000419847,ENST00000375964,
NM_138275	ENST00000451549,ENST00000383412,ENST00000438769,ENST00000426729,ENST00000444404,ENST00000428302,ENST00000375809,
NM_138273	ENST00000451549,ENST00000383412,ENST00000438769,ENST00000426729,ENST00000444404,ENST00000428302,ENST00000375809,
NM_001199237	ENST00000419261,ENST00000400139,ENST00000416384,ENST00000211377,ENST00000448091,ENST00000433880,ENST00000375906,
NM_021246	ENST00000420378,ENST00000400080,ENST00000440095,ENST00000419389,ENST00000444880,ENST00000434515,ENST00000375825,
NM_001288	ENST00000422167,ENST00000431921,ENST00000400052,ENST00000383405,ENST00000456863,ENST00000420458,ENST00000457485,ENST00000447369,ENST00000418285,ENST00000442045,ENST00000425464,ENST00000438750,ENST00000375784,
NM_021160	ENST00000494438,ENST00000549543,ENST00000482058,ENST00000446529,ENST00000475067,ENST00000546528,ENST00000464268,ENST00000547161,ENST00000488103,ENST00000547325,ENST00000495335,ENST00000550719,ENST00000375842,ENST00000395952,ENST00000461287,
NR_045828	ENST00000439902,ENST00000400157,ENST00000443975,ENST00000416324,ENST00000422771,ENST00000425177,ENST00000375920,
NM_025262	ENST00000455753,ENST00000383425,ENST00000418117,ENST00000431114,ENST00000458081,ENST00000324540,ENST00000375858,
NM_001199698	ENST00000434446,ENST00000383448,ENST00000415345,ENST00000417144,ENST00000412012,ENST00000419847,ENST00000211379,
NM_001199239	ENST00000419261,ENST00000400139,ENST00000416384,ENST00000211377,ENST00000448091,ENST00000433880,ENST00000375906,
NM_025261	ENST00000428498,ENST00000383413,ENST00000419939,ENST00000434915,ENST00000428121,ENST00000448386,ENST00000375819,
NM_004639	ENST00000434446,ENST00000383448,ENST00000415345,ENST00000417144,ENST00000412012,ENST00000419847,ENST00000375964,
NM_080702	ENST00000434446,ENST00000383448,ENST00000415345,ENST00000417144,ENST00000412012,ENST00000419847,ENST00000211379,
NM_019101	ENST00000426800,ENST00000383438,ENST00000436931,ENST00000430282,ENST00000441436,ENST00000432598,ENST00000375916,
NM_013974	ENST00000451411,ENST00000437889,ENST00000400062,ENST00000400063,ENST00000413655,ENST00000447101,ENST00000443533,ENST00000411456,ENST00000414455,ENST00000454138,ENST00000427126,ENST00000434464,ENST00000375789,ENST00000375792,
NM_001320	ENST00000490307,ENST00000443673,ENST00000443952,ENST00000486289,ENST00000383433,ENST00000383431,ENST00000461323,ENST00000454382,ENST00000457089,ENST00000465367,ENST00000452985,ENST00000413083,ENST00000476407,ENST00000422567,ENST00000416194,ENST00000493079,ENST00000451917,ENST00000437010,ENST00000468255,ENST00000375882,ENST00000375880,
NM_001199697	ENST00000434446,ENST00000383448,ENST00000415345,ENST00000417144,ENST00000412012,ENST00000419847,ENST00000211379,
NM_080686	ENST00000550674,ENST00000551341,ENST00000547056,ENST00000551794,ENST00000550609,ENST00000547669,ENST00000376007,
